	sex	days	col	bl	weight	melanoma	weightM	weightF	weightRes	daysM	daysF	daysRes
X13110	1	1	1	1	1	1	1	1	1	1	1	1
X26581	1	1	1	1	1	1	1	1	1	1	1	1
X43836	1	1	1	1	1	1	1	1	1	1	1	1
X2075	1	1	1	1	1	1	1	1	1	1	1	1
X16037	1	1	1	1	1	1	1	1	1	1	1	1
X38004	1	1	1	1	1	1	1	1	1	1	1	1
X48168	1	1	1	1	1	1	1	1	1	1	1	1
X51919	1	1	1	1	1	1	1	1	1	1	1	1
X41286	1	1	1	1	1	1	1	1	1	1	1	1
X15881	1	1	1	1	1	1	1	1	1	1	1	1
X45211	1	1	1	1	1	1	1	0.90170523255814	1	1	1	1
X43400	1	1	1	1	1	1	1	1	1	1	1	1
X42433	1	1	1	1	1	1	1	1	1	1	1	1
X30441	0.0280310204081394	1	0.965708874172186	0.401827659574464	1	0.145431529411761	1	1	1	1	1	1
X20947	1	1	1	1	1	1	1	1	1	1	1	1
X40822	1	1	1	1	1	1	1	1	1	1	0.974538250790305	1
X48569	1	1	0.364841249999993	0.732090693069309	1	0.473904561403503	1	1	1	1	1	1
X9401	1	1	1	1	1	1	1	1	1	1	1	1
X36781	1	1	1	1	1	1	1	1	1	1	1	1
X39527	1	1	1	1	1	1	1	1	1	1	1	1
X53003	1	1	1	1	1	1	1	1	1	1	0.836199638336347	0.861198505869796
X46784	1	1	1	1	1	1	1	1	1	1	1	1
X26289	0.0127177777777778	1	1	0.589364945454543	1	1	1	1	1	1	1	1
X37935	1	1	1	1	1	1	1	1	1	1	1	1
X37521	1	1	1	1	1	1	1	1	1	1	1	1
X25710	1	1	1	1	1	1	1	1	1	1	1	1
X55437	1	1	1	1	1	1	0.878094366341716	1	1	1	1	1
X44113	1	1	1	1	1	1	1	1	1	1	1	1
X9935	1	1	1	1	1	1	1	1	1	1	0.700083386243387	1
X7845	1	1	1	1	0.587217442143729	1	0.793094036511156	1	1	1	1	1
X26618	1	1	1	1	1	1	1	1	1	1	1	1
X42627	1	1	1	1	1	1	1	1	1	1	1	1
X19683	1	1	1	1	1	1	1	1	1	1	1	1
X38138	1	1	1	1	1	1	1	1	1	0.898457879824134	1	1
X6218	1	1	1	1	1	1	1	1	1	1	1	1
X39834	1	1	1	1	1	1	1	1	1	0.862048017195058	1	1
X47373	1	1	1	0.99888318756074	1	0.185353910034603	1	1	1	1	1	1
X46873	1	1	1	1	1	1	1	0.99682194059406	1	1	1	1
X36679	1	1	1	1	1	1	1	1	1	1	1	1
X44057	1	1	1	1	1	1	1	1	1	1	1	1
X232	1	1	1	1	1	1	1	1	1	1	1	1
X3054	1	1	1	1	1	1	1	1	1	1	1	1
X48576	1	1	1	0.96449571268238	1	1	1	1	1	1	1	1
X12734	1	1	1	1	1	1	1	1	1	1	1	1
X48	1	1	1	1	1	1	1	1	1	1	1	1
X12692	1	1	1	1	1	1	1	1	1	1	1	1
X8607	1	1	1	1	1	1	1	1	1	1	1	1
X52399	1	1	1	1	1	1	0.966570022304833	1	1	1	1	1
X37872	1	1	0.933615187257858	1	1	1	1	1	1	1	1	1
X10659	1	1	1	1	1	0.605360368239356	1	1	1	1	1	1
X20096	1	1	1	1	1	1	1	0.974229423631123	1	1	1	1
X14758	1	1	1	1	0.972951621818182	1	1	1	1	1	1	1
X16302	1	1	1	1	1	1	1	1	1	1	1	1
X33695	1	1	1	1	1	1	1	0.975872215320911	1	1	1	1
X30627	1	1	1	1	1	1	1	1	1	1	1	1
X37404	1	1	1	1	1	1	1	1	1	1	1	1
X15515	1	0.979684163265305	1	1	1	1	1	1	1	1	1	0.736285961538459
X55197	1	0.978343876746686	1	1	1	1	1	1	1	1	1	0.879080773930755
X36269	0.444504854368932	1	1	1	1	1	1	1	1	0.975588851063829	1	1
X30907	1	1	1	1	1	1	1	1	1	1	1	1
X13755	1	1	1	1	1	1	1	1	0.959764361948955	1	1	1
