	sex	days	col	bl	weight	melanoma	weightM	weightF	weightRes	daysM	daysF	daysRes
X1818	1	1	1	1	1	0.974460021104468	1	1	1	1	1	1
X7384	1	1	1	1	1	1	1	1	1	1	1	1
X15288	1	1	1	1	1	1	1	1	1	1	1	1
X23970	1	1	1	1	1	1	1	1	1	1	1	1
X44841	1	1	0.974912746553552	1	1	1	1	1	1	1	1	1
X13415	1	1	1	1	1	1	1	1	1	1	0.728103411371239	0.975053597173145
X41401	1	1	1	1	0.920896955332726	1	0.806810591259638	1	1	1	1	1
X42868	1	1	1	1	1	1	1	1	0.845613364485981	1	1	1
X51767	1	1	1	1	1	1	1	1	0.624850817610064	1	1	1
X44655	1	1	1	1	1	1	1	1	1	1	1	1
X11671	1	1	0.97828361299536	1	1	1	1	1	1	1	1	1
X31539	1	0.999045219084712	1	1	1	1	0.962928530083777	1	1	0.554288527918785	1	0.956828100470957
X38244	1	1	1	1	0.615098086956524	1	1	0.388	0.954923428571428	1	1	1
X49560	1	1	1	1	1	1	1	1	1	1	1	1
X23086	1	1	1	1	1	1	1	1	1	1	1	1
X19056	1	1	1	1	1	1	1	1	1	1	1	1
X33557	1	1	1	1	1	1	1	1	1	1	1	1
X30025	1	1	1	1	1	1	1	1	1	1	1	1
X34790	1	1	1	1	1	1	1	1	1	1	1	1
X7237	1	1	1	1	1	1	1	1	1	1	1	1
X22933	1	1	1	1	1	1	1	1	1	1	1	1
X41000	1	1	1	1	1	1	1	1	1	1	1	1
X30638	1	1	1	1	1	1	1	0.954844626506024	1	1	1	1
X36284	1	1	1	1	1	1	1	1	1	1	1	1
X9719	1	1	1	1	0.700106925795053	1	0.392791693989075	1	0.807275303225807	1	1	1
X51076	1	1	1	1	1	1	1	1	1	1	1	1
X53576	1	0.740162799377915	1	0.833446601941748	1	1	1	1	1	1	1	1
X51343	1	1	1	1	1	1	1	1	1	1	1	1
X30606	1	1	1	1	1	1	1	0.723694991596638	1	1	1	1
X42154	1	1	1	1	1	1	1	1	1	1	1	1
X53950	1	1	1	1	1	1	1	0.874186776519051	1	1	1	1
X47291	1	1	1	1	1	0.89421168805528	1	1	1	1	1	1
X18311	1	1	1	1	1	1	1	1	1	1	1	1
X20395	1	1	1	1	1	1	1	1	1	1	1	1
X22015	1	1	1	1	1	1	1	1	1	1	1	1
X43079	1	1	1	1	1	1	1	1	1	1	1	1
X25573	1	1	1	1	1	1	1	1	1	1	1	1
X5738	1	1	1	1	1	1	1	1	1	1	1	1
X8475	1	1	1	1	1	1	1	1	1	1	1	1
X13560	1	1	1	1	1	1	1	1	1	1	1	1
X33282	1	1	1	1	1	1	1	1	1	1	1	1
X44272	0.0127177777777778	1	1	1	1	1	1	1	1	1	1	1
X38636	1	1	1	1	0.603396069364166	1	1	0.751353679458239	1	1	1	1
X50703	1	1	1	1	1	1	1	1	1	1	1	1
X18919	1	1	1	1	1	1	1	1	1	1	1	1
X33352	1	1	1	1	1	1	1	1	1	1	1	1
X7079	1	1	1	1	1	1	1	1	1	1	1	1
X21544	1	1	1	1	1	1	1	1	0.938562385552289	1	1	1
X28970	1	0.906955083373034	1	1	1	0.865588096280086	1	1	1	1	0.862048017195058	1
X19457	1	1	1	1	1	1	1	1	1	1	1	1
X25093	1	1	1	1	1	1	1	1	1	1	1	1
X23495	1	1	1	1	1	1	1	1	1	1	1	1
X11928	1	1	1	1	1	1	1	1	0.959013188518232	1	1	1
X13123	0.513448097165991	1	0.584082647058819	0.194280789473678	0.205590573248419	1	0.675944881889764	0.327168927038627	1	1	1	1
X43566	1	1	1	1	1	1	1	1	1	1	1	1
X12620	1	1	1	1	0.966362139673106	1	0.99888318756074	1	0.679517085330776	1	1	1
X38808	0.0127177777777778	1	1	0.0127177777777778	0.0127177777777778	0.412055999999997	1	1	0.791989354838707	1	1	1
X721	0.284633060240973	0.949120919162906	1	1	1	0.957026391592061	1	1	1	1	1	1
X13872	1	1	1	1	1	1	1	1	1	1	1	0.699444221635886
X46998	1	1	1	1	1	1	1	1	1	1	1	1
X27963	1	0.979050557939914	1	1	1	0.734568845208843	1	1	1	0.767200409956079	0.938533590604028	1
X27215	1	1	1	1	1	1	1	1	1	1	1	1
X9193	1	1	1	0.829974585365852	1	1	1	1	1	1	1	1
X20068	1	1	1	1	1	1	1	1	1	1	1	1
X41098	1	1	1	1	1	1	1	1	1	1	1	1
X8552	1	1	1	1	1	1	1	1	1	1	1	1
X40953	1	1	1	1	1	1	1	1	1	1	1	1
X55367	0.758725868263473	1	1	1	1	1	1	1	1	1	1	1
X31724	1	1	1	1	1	1	1	1	1	1	1	1
X24584	1	1	1	1	1	1	1	1	1	1	1	1
X44909	1	1	1	1	1	1	1	1	1	1	1	1
X27870	1	1	1	1	1	1	1	1	1	1	1	1
X46851	0.0359090196078292	1	1	0.310453150684929	1	0.614627658643323	1	1	1	1	1	1
X22117	1	1	1	1	1	1	1	1	1	1	1	1
X15387	1	1	1	1	1	1	1	1	1	1	1	1
X7291	1	1	1	1	0.862494089935762	1	0.63654376930999	1	0.702368181818185	0.999004796880078	1	1
X20616	1	1	1	1	1	1	1	1	1	1	1	1
X37306	1	1	0.284633060240973	0.615513240641715	1	1	1	1	1	1	1	1
X22460	1	1	1	1	1	1	1	1	1	1	0.793120694259011	1
X24431	1	1	1	1	1	1	0.752784617713856	1	1	1	1	1
X39192	1	1	1	1	0.995416179775281	1	1	1	1	1	1	1
X6734	1	1	0.31768489795919	0.480046219686164	1	1	1	1	1	1	1	1
X52695	1	1	1	1	1	0.793382400000003	1	1	1	1	1	1
X15140	1	1	1	1	1	1	1	1	1	1	1	1
X5017	1	1	0.0127177777777778	0.0127177777777778	1	0.75184339651251	1	1	1	1	1	1
X13098	1	1	1	1	1	1	1	1	1	1	0.86589838550247	1
X37609	1	1	1	1	1	1	1	1	1	1	1	1
X31825	0.341281955193482	0.855506742857144	1	1	1	0.914379318181819	1	1	1	1	1	1
X27917	1	1	1	1	1	1	1	1	1	1	1	1
X41391	1	1	1	1	1	1	1	1	1	1	1	1
X31559	1	1	1	1	1	1	1	1	1	1	1	1
X8770	1	1	1	1	1	1	1	1	1	1	1	1
X29790	1	1	1	1	1	0.955277959346354	1	1	1	1	1	1
X20081	1	1	1	1	1	1	1	0.987188789297659	1	1	1	1
X50533	1	1	1	1	0.65840435045317	1	1	0.584082647058819	1	1	1	1
X17757	1	1	1	1	1	1	1	1	1	1	1	1
X26762	1	1	0.974381570975695	1	1	1	1	1	1	1	1	1
X25007	1	1	1	1	1	1	1	1	1	1	1	1
X14049	1	1	1	1	1	1	1	1	1	1	1	1
X1492	1	1	1	1	1	0.913289757949693	1	1	1	1	1	1
X23083	1	1	1	1	1	1	1	1	1	1	1	1
X50996	1	1	1	1	1	1	1	1	1	1	1	1
X39846	1	1	1	1	1	1	1	1	1	1	1	1
X1100	1	1	1	1	1	1	1	1	1	1	1	1
X9373	1	1	1	1	1	0.976616711743772	1	1	1	1	0.868858197153401	0.947059620148637
X23503	1	1	1	1	1	1	1	1	1	1	1	1
X48429	1	1	1	1	1	1	1	1	1	1	1	1
X42084	1	1	1	1	1	1	1	1	1	1	1	1
X37489	1	1	1	1	1	1	1	1	1	1	1	1
X7608	1	1	0.994915711449372	1	1	1	1	1	1	1	1	1
X9796	1	1	1	1	1	1	1	1	1	1	1	1
X35353	1	1	1	1	1	1	1	1	1	1	1	1
X19666	1	1	1	1	1	1	1	1	1	1	1	1
X36922	1	1	1	1	1	1	1	1	1	1	1	1
X41439	1	1	1	1	1	1	1	1	1	1	1	1
X31238	1	1	1	1	1	1	1	1	1	1	1	1
X1363	1	1	1	1	1	1	1	1	1	1	1	1
X16030	1	1	1	1	1	1	1	1	1	1	1	1
X44177	1	1	0.0127177777777778	0.0431924528301839	1	1	1	1	1	1	1	1
X31313	1	1	1	1	1	1	1	1	1	1	1	1
X51717	1	1	1	1	1	1	1	1	1	1	1	1
X30355	1	1	1	1	1	1	1	1	1	1	1	1
X18990	1	1	1	1	1	1	1	1	0.966305721706863	0.950855284021251	1	1
X45518	1	1	1	1	1	1	1	1	1	1	1	1
X17942	1	1	1	1	1	0.74090735362998	1	1	1	1	1	1
X34429	1	1	1	1	1	1	1	1	1	1	1	1
X7712	1	1	1	1	1	1	1	1	1	1	1	1
X35000	1	1	1	1	1	1	1	1	1	1	1	1
X41838	1	1	1	1	1	1	1	1	1	1	1	1
X26555	1	1	1	1	1	1	1	1	1	1	1	1
X25982	1	1	1	1	1	1	1	1	1	1	1	1
X33443	1	1	1	1	1	1	1	1	1	1	1	1
X5598	1	1	1	1	1	1	1	1	1	1	1	1
X4912	1	1	1	1	1	1	1	1	1	1	1	1
X45297	1	1	1	1	1	1	1	1	1	1	1	1
X41481	1	1	1	1	1	1	0.964882262443438	1	1	1	1	1
X32891	1	1	1	1	1	1	1	1	1	1	1	1
X44346	1	1	1	1	1	1	1	1	1	1	1	1
X31049	1	1	1	1	1	1	1	1	1	1	1	1
X27031	1	1	1	1	1	1	1	1	1	1	1	1
X53173	1	1	1	1	1	1	1	1	1	1	1	1
X44468	1	1	1	1	1	1	1	1	1	1	1	1
X17996	1	1	1	1	1	1	1	1	1	1	1	1
X41738	1	1	1	1	1	1	1	1	1	1	1	1
X55353	1	1	1	1	1	1	1	1	1	1	1	1
X10058	1	1	1	1	1	1	1	1	1	1	1	1
X27246	1	1	1	1	1	1	1	1	1	1	1	1
X1375	1	1	1	1	1	1	1	1	1	1	1	1
X47155	1	1	1	1	1	1	1	1	1	1	1	1
X45247	1	1	1	1	1	1	1	1	1	1	1	1
X4102	1	1	1	1	1	1	1	1	1	1	0.956597196850393	1
X55650	1	1	1	1	1	0.280869426433911	1	1	1	1	1	1
X28856	1	1	1	1	1	1	1	1	1	1	1	1
X52082	1	1	1	1	1	0.965891426454242	1	1	1	1	1	1
X24360	1	1	1	1	1	1	1	1	1	1	1	1
X3260	1	1	1	1	1	1	1	1	1	1	1	1
X20539	1	1	1	1	1	1	1	1	1	1	1	1
X27692	1	1	1	1	1	1	1	1	1	1	1	1
X6221	1	1	1	1	1	1	1	1	1	1	1	1
X40881	1	1	1	1	1	1	1	1	1	1	1	1
X28171	1	1	1	1	1	1	1	1	1	1	1	1
X39569	1	1	0.858058906605921	1	1	1	1	1	1	1	1	1
X54695	1	1	0.0280310204081394	0.152030839694663	1	1	1	1	1	1	1	1
X18724	1	1	1	0.600303277909741	1	1	1	1	1	1	1	1
X8325	1	1	1	1	1	1	1	1	1	1	1	1
X14355	1	1	1	1	1	1	1	1	1	1	0.766756219780221	1
X54260	1	1	1	1	1	1	1	1	1	1	1	1
X28216	1	1	1	1	1	1	1	1	1	1	1	1
X28197	1	1	1	1	0.621284999999999	1	0.804643381014306	1	0.285744113475175	1	1	1
X21971	1	1	1	1	1	0.75088518072289	1	1	1	1	1	1
X39340	1	1	1	1	1	1	1	1	1	1	1	1
X32788	1	1	1	1	1	1	1	1	1	1	0.839146365258775	1
X49496	0.0750557377049098	1	1	1	1	1	1	1	1	1	1	1
X34328	1	1	1	1	0.934230413793104	1	1	0.895803374444993	1	1	1	1
X31345	1	1	1	1	0.801672411067192	1	0.682880000000001	1	0.625634764397909	1	1	1
X6693	1	1	1	1	1	1	1	1	1	1	1	1
X7093	1	1	1	1	1	1	1	1	1	1	1	1
X10246	1	1	1	1	1	1	1	1	1	1	1	1
X40373	1	1	1	0.942411031055899	1	1	1	1	1	1	1	1
X29937	1	1	1	1	1	1	1	1	1	1	1	1
X31536	1	1	1	1	1	1	1	1	1	1	1	1
X50001	1	1	1	1	0.802718167539267	1	0.761252540861815	1	0.700083386243387	1	1	1
X10950	1	1	1	1	1	1	1	1	1	0.860090657672849	1	1
X13574	1	1	1	1	1	1	1	1	1	1	1	1
X6754	1	1	1	1	1	1	1	1	1	1	1	1
X50068	1	1	1	1	1	1	1	1	1	1	1	1
X26740	1	1	1	1	1	1	1	1	1	1	1	1
X6160	1	0.729790075187967	1	1	1	1	1	1	1	0.238873043478257	1	0.699444221635886
X45510	1	1	1	1	1	1	1	1	1	1	1	1
X1743	1	1	1	1	1	1	1	1	1	1	1	1
X14298	1	1	1	1	1	1	1	1	1	1	1	1
X47990	1	1	1	1	1	1	1	1	1	1	1	1
X41787	1	1	1	1	1	1	1	1	1	1	1	1
X41119	1	1	1	1	1	1	1	1	1	1	1	1
X4109	1	1	1	1	1	1	1	1	1	1	1	1
X18328	1	1	1	1	1	1	1	1	1	1	1	1
X3205	1	1	1	1	1	1	1	1	1	1	1	1
X28003	1	1	1	1	1	1	1	1	1	1	1	1
X4504	1	1	1	1	1	1	1	1	1	1	1	1
X52064	1	1	1	1	1	1	1	1	1	1	1	1
X1074	1	1	1	1	1	1	1	1	1	1	1	1
X32432	1	1	1	1	1	1	1	1	1	1	1	1
X12327	1	1	1	1	1	1	1	1	1	1	1	1
X38436	1	1	1	1	1	1	1	0.81000228281547	1	1	1	1
X2467	1	1	1	1	1	1	1	1	1	1	1	0.939021613038027
X8785	1	1	1	1	1	1	1	1	1	1	1	1
X43712	1	1	1	1	1	1	1	1	1	1	1	0.974771796322488
X40794	1	1	1	1	1	1	1	1	1	1	1	1
X30493	1	1	1	1	1	1	1	1	1	1	1	1
X46182	1	1	1	1	1	1	1	1	1	1	1	1
X16953	1	1	1	1	1	1	1	1	1	1	1	1
X12409	1	1	1	1	1	1	1	1	1	1	1	1
X6934	1	1	1	1	1	1	1	1	1	1	1	1
X33689	1	1	1	1	1	1	1	1	1	1	1	1
X29551	1	1	1	1	1	1	1	1	1	1	1	1
X32448	1	1	1	1	1	1	1	1	1	1	1	1
X20222	1	1	1	1	1	1	1	1	1	1	1	1
X50731	1	1	1	1	1	1	1	1	1	1	1	1
X12825	1	1	1	1	0.860884628474192	1	1	0.503561367989059	1	1	1	1
X26077	1	1	1	0.0127177777777778	1	1	1	1	1	1	1	1
X47282	1	1	1	1	1	1	1	1	1	1	1	1
X21946	1	1	1	1	1	1	1	1	1	1	1	1
X53045	1	1	1	1	1	1	1	1	1	1	1	1
X43775	1	1	1	1	1	1	1	1	1	1	1	1
X50883	1	1	1	1	0.842069681978797	1	1	0.635446305015356	0.962355555555554	1	1	1
X28730	1	1	1	1	1	1	1	1	1	1	1	1
X27409	1	1	1	1	1	1	1	1	1	1	1	1
X45581	1	1	1	1	0.264999782608691	1	0.975652651757187	0.269670157068053	1	1	1	1
X4916	1	1	1	1	1	1	1	1	1	1	1	1
X53306	1	1	1	1	1	1	1	1	1	1	1	1
X31384	0.0127177777777778	1	1	0.693671582799637	1	0.550113273427473	0.975734953400069	1	1	1	1	1
X28782	1	1	1	1	1	1	1	1	1	1	1	1
X48520	1	1	1	1	1	1	1	0.793223792415172	1	1	1	1
X48790	1	1	1	1	1	1	1	1	1	1	1	1
X10105	1	1	1	1	0.979355169606512	1	1	1	1	1	1	1
X20655	1	1	1	1	1	1	1	1	1	1	1	1
X36397	1	1	1	1	1	1	1	1	1	1	1	1
X33330	1	1	1	1	1	1	1	1	1	1	1	1
X36324	1	1	1	1	1	1	1	1	1	1	1	1
X46880	0.784591819464033	1	1	1	0.403547469026547	1	1	0.28417655172414	1	1	1	1
X27441	1	1	1	1	1	1	1	1	1	1	1	1
X14350	1	1	1	1	1	1	1	1	1	1	1	1
X449	1	1	1	1	1	1	1	1	1	1	1	1
X16560	1	1	1	1	1	1	1	1	1	1	1	1
X19535	1	1	1	1	1	1	1	1	1	1	1	1
X14587	1	1	1	1	1	1	1	1	1	1	1	1
X17794	1	1	0.31956617449664	0.465979377777781	1	1	1	1	1	1	1	1
X14052	1	1	1	1	0.327168927038627	1	1	0.34751710843373	0.863376675690309	1	1	1
X3692	1	1	1	1	1	1	1	1	1	1	1	1
X33163	1	1	1	1	1	1	1	1	1	1	1	1
X22336	1	1	1	1	1	1	1	1	1	1	1	1
X12612	1	1	1	1	1	1	1	1	1	1	1	1
X10698	1	1	1	1	0.901289477756288	1	0.974085535135134	1	1	1	1	1
X42763	1	1	1	1	1	1	1	1	1	1	1	1
X42651	1	1	1	1	1	1	1	1	1	1	1	1
X46072	1	1	1	1	1	1	1	1	1	1	1	1
X387	1	1	1	1	1	1	1	1	1	1	1	1
X15063	1	1	1	1	1	1	1	1	1	1	1	1
X49913	1	1	1	1	1	1	1	1	1	1	1	1
X24698	1	1	1	1	1	1	1	1	1	1	1	1
X30465	1	1	1	1	1	1	1	1	1	1	1	1
X18758	1	1	0.0199060869565416	0.110372142857151	1	0.807489783439492	1	1	1	1	1	1
X18448	1	1	1	1	1	1	1	1	1	1	1	1
X35198	1	1	1	1	1	1	1	1	1	1	1	1
X18352	1	1	1	1	1	1	1	1	1	1	1	1
X4617	1	1	1	1	1	1	1	1	1	1	1	1
X36271	1	1	1	0.701450053475937	1	1	1	1	1	1	1	0.784176203246294
X50911	1	0.89227676426799	1	1	1	1	1	1	1	1	1	0.965049807037456
X30121	1	1	0.974538250790305	1	1	1	1	1	1	0.987303402268179	1	1
X13980	1	1	1	1	1	1	1	1	1	1	1	1
X26698	1	1	1	1	1	0.65834712411705	1	1	1	1	1	1
X15948	1	1	1	1	1	1	1	1	1	0.808965413533836	1	1
X10353	1	1	1	1	1	1	1	1	1	1	1	1
X21552	1	1	1	1	1	1	1	1	1	1	1	1
X44916	1	1	1	1	1	1	1	1	1	1	1	1
X31562	1	1	1	1	1	1	1	1	1	1	1	1
X35183	1	1	1	1	1	1	1	1	1	1	1	1
X7895	1	1	1	1	1	1	1	1	1	1	1	1
X32450	1	1	1	1	1	1	1	1	1	1	1	0.865453891951488
X28411	0.41802782608695	1	1	1	1	0.285744113475175	1	1	1	1	1	1
X16226	0.736956915662653	1	0.194280789473678	0.228228398791539	1	1	1	1	1	0.946139603305786	1	1
X648	1	1	0.14848864864865	0.0933460194174581	1	1	1	1	1	1	1	1
X6627	1	1	1	1	1	1	1	1	1	1	1	1
X31190	1	1	1	1	1	1	1	1	1	1	1	1
X18953	1	1	1	1	1	1	1	1	1	1	1	1
X34445	1	1	1	1	1	1	1	1	1	1	1	1
X34056	1	1	1	1	1	1	1	1	1	1	1	1
X2683	1	1	1	1	1	1	1	1	1	1	1	1
X36088	1	1	0.0803655319148929	0.122219999999993	1	1	1	1	1	1	1	1
X55858	1	1	1	1	1	1	1	1	1	1	1	1
X13880	1	1	1	1	1	1	1	1	1	1	1	1
X31309	1	1	1	1	1	1	1	1	0.986093270651444	1	1	1
X55042	1	1	1	1	1	1	1	1	1	1	1	1
X32529	1	1	1	1	1	1	1	1	1	1	1	1
X31852	1	1	1	1	1	0.721620913705583	1	1	1	1	1	1
X30822	1	1	1	1	1	1	1	1	1	1	1	1
X32128	1	1	1	1	1	1	1	1	1	1	0.706518570183088	0.938041869473685
X21419	1	1	1	1	1	1	1	1	1	1	1	1
X34904	1	1	1	1	1	1	1	1	1	1	1	1
X45721	1	1	1	0.265129865951742	1	1	1	1	1	1	1	1
X25899	1	1	1	1	1	1	1	1	1	1	1	1
X24232	1	1	1	1	1	1	1	1	1	1	1	1
X24843	1	1	1	1	1	1	1	1	1	1	1	1
X5836	1	1	1	1	0.808917812696416	1	0.723148460891504	1	0.577521972873	1	1	1
X51555	1	1	1	1	1	1	1	0.763515529411766	1	1	1	1
X154	1	1	1	1	1	1	1	1	1	1	1	1
X41768	1	1	1	1	1	1	1	1	1	1	1	1
X29666	1	1	1	1	1	1	1	1	1	1	1	1
X16266	1	1	1	1	1	1	1	1	1	1	1	1
X25561	1	1	1	1	0.974756129032257	1	1	0.84456182883939	1	1	1	1
X54143	1	1	1	1	1	1	1	1	1	1	1	1
X2801	1	1	1	1	1	1	1	1	1	1	0.954498446909667	1
X681	1	1	1	1	1	1	1	1	1	1	1	1
X30883	1	1	1	1	1	0.831803043213635	1	1	1	1	1	1
X18888	1	1	1	1	1	1	1	1	1	1	1	1
X49556	1	1	1	1	1	1	1	1	1	1	1	0.921301500682127
X29845	1	1	1	1	1	0.913074935988619	1	1	1	1	1	1
X18705	1	1	1	1	1	1	1	1	1	1	1	1
X14742	1	1	1	1	1	1	1	1	1	1	1	1
X20060	1	1	1	1	1	1	1	1	1	1	1	0.858450000000001
X24165	1	1	1	1	1	1	1	1	1	1	1	1
X40174	1	1	1	1	1	1	1	1	1	1	1	1
X38617	1	1	1	1	1	1	1	1	1	1	1	1
X53890	1	1	1	1	1	1	1	1	1	1	1	1
X35470	1	1	1	1	1	1	1	1	1	1	1	1
X38637	1	1	1	1	1	1	1	1	1	1	1	1
X16608	1	1	1	1	1	1	1	1	1	1	1	1
X50172	1	1	1	1	1	1	0.964941265822785	1	1	1	1	1
X36854	1	1	1	1	1	1	1	1	0.958962820612165	1	1	1
X25150	1	1	1	1	1	0.842545225653207	1	1	1	1	1	1
X49116	1	1	1	1	1	1	1	1	1	1	1	1
X7739	1	1	1	1	1	1	1	1	0.977217634408601	1	1	1
X13783	1	1	1	1	1	1	1	1	1	1	1	1
X19163	1	1	1	1	1	0.809690474383301	1	1	1	1	1	1
X39501	1	1	1	1	1	1	1	1	1	1	1	1
X10756	1	1	1	1	1	1	1	1	1	1	1	1
X17025	1	0.721620913705583	1	1	1	1	1	1	1	0.743155487336915	1	1
X12090	1	1	1	1	1	1	1	1	1	1	1	1
X22911	1	1	1	1	1	1	1	1	1	1	1	1
X55051	0.788306152768043	1	1	1	1	1	1	1	1	1	1	1
X40748	1	1	1	1	1	1	1	1	1	0.996765166340508	1	1
X36067	1	1	1	1	1	1	1	1	0.520800640854474	1	1	1
X18848	1	1	1	1	1	1	1	1	1	1	1	1
X13685	1	1	1	1	1	1	1	1	1	1	1	1
X28332	1	1	1	1	1	1	1	1	1	1	1	1
X9965	1	1	1	1	1	1	1	1	1	1	1	1
X35506	1	1	1	1	1	1	1	1	1	1	1	1
X38496	1	1	1	1	1	1	1	1	1	1	1	1
X46134	1	1	1	1	1	1	1	1	1	1	1	1
X18502	1	1	1	1	1	1	1	1	1	1	1	1
X41955	1	1	1	1	1	1	1	1	1	1	1	1
X45428	1	1	1	1	1	1	1	1	1	1	1	1
X52696	1	1	1	1	1	1	1	1	1	1	1	1
X16057	1	1	1	1	1	1	1	1	1	1	1	1
X16159	1	1	1	1	1	1	1	1	1	1	1	1
X20848	1	1	1	1	1	1	1	1	1	1	1	1
X50338	1	1	1	1	1	1	1	1	1	1	1	1
X21311	1	1	1	1	1	1	1	1	1	1	1	1
X54939	1	1	1	1	1	1	0.976047522553782	1	1	1	1	1
X22397	1	1	1	1	1	1	1	1	1	1	1	1
X38097	1	1	1	1	1	1	1	1	0.902447630057802	1	1	1
X20483	1	1	1	1	1	1	1	1	1	1	1	1
X35930	1	1	1	1	1	1	1	1	1	1	1	1
X52397	1	1	1	1	1	1	1	1	1	1	1	1
X43285	1	1	1	1	1	1	1	1	1	1	0.965272280961184	1
X39805	1	1	1	1	1	1	1	1	1	1	1	1
X41274	1	1	1	1	1	1	1	1	1	1	1	1
X34473	1	1	1	1	1	1	1	1	1	1	1	1
X41314	1	1	1	1	1	1	1	1	1	1	1	1
X29396	1	1	1	1	1	1	1	1	1	1	1	1
X546	1	0.934813611940297	1	1	1	1	0.996617414248022	1	1	0.392072928176795	1	0.996801046093494
X37172	1	1	1	1	1	1	1	1	1	1	1	1
X52805	1	1	1	1	1	1	1	1	1	1	1	1
X51135	1	1	1	1	1	1	1	1	1	1	1	1
X32192	1	1	1	1	1	0.0111668292683039	1	1	1	0.75528144036009	1	1
X12830	1	1	1	1	1	1	1	1	1	1	1	1
X36831	1	1	1	1	1	1	1	1	1	1	1	1
X24882	1	1	1	1	1	1	1	1	1	1	1	1
X51036	1	1	1	1	1	1	1	1	1	0.949120919162906	1	1
X30673	1	1	1	1	1	0.998142456371418	1	1	1	1	1	1
X37913	1	1	1	1	1	1	1	1	1	1	1	1
X25313	1	1	1	1	0.723148460891504	1	1	1	1	1	1	1
X43832	1	1	1	1	1	1	1	1	1	1	1	1
X26561	1	1	1	1	1	1	1	1	1	1	1	1
X40500	1	1	1	1	1	1	1	1	1	1	1	1
X30647	1	1	1	1	1	1	1	1	1	1	1	1
X5211	1	1	1	1	1	1	1	1	1	1	1	1
X29970	1	1	1	1	1	1	1	1	1	1	1	1
X27170	1	1	1	1	1	1	1	1	1	1	1	1
X1291	1	1	1	1	1	0.963754935557242	1	1	1	1	1	1
X4708	1	1	0.141712380952371	0.446005686591279	1	1	1	1	1	1	1	1
X22662	1	1	1	1	1	1	1	1	1	1	1	1
X38826	1	1	1	1	1	1	1	1	1	1	1	1
X5551	1	1	1	1	1	1	1	1	1	1	1	1
X27330	1	1	1	1	1	1	1	1	1	1	1	1
X20621	1	1	1	1	1	1	1	1	1	1	1	1
X35959	1	1	1	1	1	1	1	0.976725333333333	1	1	1	1
X5661	0.0199060869565416	1	1	0.912464831460673	1	1	1	1	0.670343426294823	1	1	1
X26142	1	1	1	1	1	1	1	1	1	1	1	1
X2629	1	1	1	1	1	1	1	1	1	1	1	1
X18143	0.049645301204823	1	1	0.820566342962508	1	0.185353910034603	1	1	1	1	1	1
X14874	1	1	1	1	1	1	1	1	1	1	1	1
X42430	1	1	1	1	1	1	1	1	1	1	1	1
X27202	1	1	1	1	1	1	1	1	1	1	1	1
X28780	1	1	1	1	0.395257553956832	1	1	0.265129865951742	1	1	1	1
X29944	1	1	1	1	1	1	1	1	1	1	1	1
X13374	1	1	1	1	1	1	1	1	1	1	1	1
X7572	1	1	1	1	1	1	1	1	1	1	1	1
X49878	1	1	1	1	1	1	1	1	1	1	1	1
X50205	1	1	1	1	1	1	1	1	1	1	1	1
X37988	1	1	0.879221071975497	1	1	1	1	1	1	1	1	1
X48550	1	1	1	1	1	1	1	1	1	1	0.955275977473855	1
X26652	1	1	1	1	0.842252830188681	1	0.936115776824035	1	0.651273920972647	1	1	1
X43937	1	1	1	1	1	1	1	1	1	1	1	1
X7889	1	1	1	1	1	1	1	1	0.940735920398009	1	1	1
X52460	1	1	1	1	1	1	1	1	1	1	1	1
X14426	1	1	0.0127177777777778	0.0875282352941304	1	1	1	1	1	1	1	1
X6339	0.732619488870566	1	1	1	1	0.81000228281547	1	1	1	1	1	1
X20814	1	1	1	1	1	1	1	1	1	1	1	1
X42334	1	1	1	1	1	1	1	1	1	1	1	1
X16588	1	1	1	1	1	1	1	1	1	1	1	1
X11370	1	1	0.952359333062221	1	1	1	0.997623377806704	1	0.767082807017542	1	1	1
X19321	1	1	1	1	1	1	1	1	0.73395046079224	1	1	1
X40759	1	1	1	1	1	1	1	1	1	1	1	1
X9258	1	1	1	1	1	0.906955083373034	1	1	1	1	1	1
X39017	1	1	1	1	1	1	1	1	1	1	0.951625350060706	1
X11608	1	1	1	1	1	1	1	1	1	1	1	1
X4512	1	1	1	1	1	1	1	1	1	1	1	1
X47702	1	1	1	1	0.613313781697905	1	0.732543999999998	1	0.444504854368932	1	1	1
X45763	1	1	1	1	1	1	1	1	1	1	1	0.863376675690309
X31787	1	1	1	1	1	0.879052799999999	1	1	1	1	1	1
X40246	1	1	1	1	1	1	1	1	1	1	1	1
X28384	1	1	1	1	1	1	1	1	1	1	1	1
X7842	1	1	1	1	1	1	1	1	1	1	1	0.934351132321043
X35249	1	1	1	1	1	1	1	1	1	1	1	1
X8269	1	1	1	1	1	1	1	1	0.995620317460317	1	1	1
X53012	1	1	1	1	1	1	1	1	1	1	1	1
X13	1	1	1	1	1	1	1	1	1	1	1	1
X35583	1	1	1	1	1	1	1	1	1	1	1	1
X9192	1	1	1	1	1	1	1	1	1	0.806349449423817	1	0.866258367123289
X32561	1	1	1	1	1	1	1	1	1	1	1	1
X28664	1	1	1	1	1	1	1	1	1	1	1	1
X41868	1	1	1	1	1	1	1	0.976090584438867	0.974600337552741	1	1	1
X32499	0.231629112426042	1	0.0127177777777778	0.0127177777777778	1	1	1	1	1	1	1	1
