individual	sex	days	col	bl	weight	melanoma	weightM	weightF	weightRes	daysM	daysF	daysRes
G195	2	215	NA	1	1	NA	NA	1	0.195892857142858	NA	215	-29.4821428571428
G196	1	269	0	0	1.84	0	1.84	NA	0.203008849557522	269	NA	-3.46017699115044
G207	2	229	NA	1	0.75	NA	NA	0.75	-0.0541071428571425	NA	229	-15.4821428571428
G209	1	230	0	0	1.38	0	1.38	NA	-0.256991150442478	230	NA	-42.4601769911504
G214	2	263	NA	1	1.12	NA	NA	1.12	0.315892857142858	NA	263	18.5178571428572
G215	1	266	0	0	2.69	0	2.69	NA	1.05300884955752	266	NA	-6.46017699115045
G216	2	237	NA	1	0.46	NA	NA	0.46	-0.344107142857143	NA	237	-7.48214285714284
G217	1	245	1	1	1.83	0	1.83	NA	0.193008849557522	245	NA	-27.4601769911504
G221	1	276	0	0	1.98	0	1.98	NA	0.343008849557522	276	NA	3.53982300884955
G223	2	239	NA	1	0.52	NA	NA	0.52	-0.284107142857142	NA	239	-5.48214285714284
G224	1	274	0	0	1.52	0	1.52	NA	-0.116991150442478	274	NA	1.53982300884956
G226	1	258	0	0	2.05	0	2.05	NA	0.413008849557522	258	NA	-14.4601769911504
G232	1	296	0	0	1.83	0	1.83	NA	0.193008849557522	296	NA	23.5398230088496
G235	2	277	NA	NA	1.48	NA	NA	1.48	0.675892857142858	NA	277	32.5178571428572
G248	1	269	0	0	1.6	0	1.6	NA	-0.0369911504424779	269	NA	-3.46017699115044
G271	2	274	NA	NA	0.52	NA	NA	0.52	-0.284107142857142	NA	274	29.5178571428572
G273	1	339	1	1	1.47	0	1.47	NA	-0.166991150442478	339	NA	66.5398230088496
G276	2	268	NA	1	0.65	NA	NA	0.65	-0.154107142857142	NA	268	23.5178571428572
G279	1	310	0	0	2.24	0	2.24	NA	0.603008849557522	310	NA	37.5398230088496
G281	1	333	0	0	1.5	0	1.5	NA	-0.136991150442478	333	NA	60.5398230088496
G283	1	298	0	0	1.94	0	1.94	NA	0.303008849557522	298	NA	25.5398230088496
G296	1	353	0	0	2.67	0	2.67	NA	1.03300884955752	353	NA	80.5398230088496
G308	1	310	0	0	1.66	0	1.66	NA	0.0230088495575219	310	NA	37.5398230088496
G309	1	327	0	0	1.68	0	1.68	NA	0.043008849557522	327	NA	54.5398230088496
G312	1	350	0	0	1.8	0	1.8	NA	0.163008849557522	350	NA	77.5398230088496
G316	1	339	1	1	1.95	0	1.95	NA	0.313008849557522	339	NA	66.5398230088496
G321	1	53	1	1	0.48	0	0.48	NA	-1.15699115044248	53	NA	-219.46017699115
G346	1	406	0	0	2.06	0	2.06	NA	0.423008849557522	406	NA	133.53982300885
G365	1	385	0	0	2.2	1	2.2	NA	0.563008849557522	385	NA	112.53982300885
G367	1	387	0	0	0.92	1	0.92	NA	-0.716991150442478	387	NA	114.53982300885
G368	1	284	1	1	0.94	0	0.94	NA	-0.696991150442478	284	NA	11.5398230088496
G371	1	412	0	0	1.26	1	1.26	NA	-0.376991150442478	412	NA	139.53982300885
G374	1	338	1	1	0.92	0	0.92	NA	-0.716991150442478	338	NA	65.5398230088496
G385	1	441	0	0	1.44	1	1.44	NA	-0.196991150442478	441	NA	168.53982300885
G392	2	365	NA	1	0.71	NA	NA	0.71	-0.0941071428571425	NA	365	120.517857142857
G413	1	344	0	0	1.85	1	1.85	NA	0.213008849557522	344	NA	71.5398230088496
G188	2	165	NA	NA	1.06	NA	NA	1.06	0.255892857142858	NA	165	-79.4821428571428
G212	1	124	0	0	1.16	0	1.16	NA	-0.476991150442478	124	NA	-148.46017699115
G280	1	178	1	1	1.81	0	1.81	NA	0.173008849557522	178	NA	-94.4601769911504
G282	2	208	NA	NA	0.94	NA	NA	0.94	0.135892857142857	NA	208	-36.4821428571428
G299	1	254	1	1	0.96	0	0.96	NA	-0.676991150442478	254	NA	-18.4601769911504
G047	2	212	NA	NA	0.74	NA	NA	0.74	-0.0641071428571425	NA	212	-32.4821428571428
G082	1	112	0	0	0.81	0	0.81	NA	-0.826991150442478	112	NA	-160.46017699115
G113	1	207	0	0	2.39	0	2.39	NA	0.753008849557522	207	NA	-65.4601769911504
G130	1	213	0	0	0.76	0	0.76	NA	-0.876991150442478	213	NA	-59.4601769911504
G151	2	242	NA	NA	0.66	NA	NA	0.66	-0.144107142857142	NA	242	-2.48214285714284
G167	2	219	NA	1	1.22	NA	NA	1.22	0.415892857142858	NA	219	-25.4821428571428
G185	1	245	0	0	1.85	0	1.85	NA	0.213008849557522	245	NA	-27.4601769911504
G191	2	210	NA	1	0.76	NA	NA	0.76	-0.0441071428571425	NA	210	-34.4821428571428
G198	2	199	NA	1	1.02	NA	NA	1.02	0.215892857142858	NA	199	-45.4821428571428
G199	1	305	1	1	1.47	0	1.47	NA	-0.166991150442478	305	NA	32.5398230088496
G228	1	238	0	0	2.2	0	2.2	NA	0.563008849557522	238	NA	-34.4601769911504
G240	1	284	0	0	1.06	0	1.06	NA	-0.576991150442478	284	NA	11.5398230088496
G249	1	279	0	0	3.14	0	3.14	NA	1.50300884955752	279	NA	6.53982300884955
G261	1	272	1	1	2.41	0	2.41	NA	0.773008849557522	272	NA	-0.460176991150445
G263	1	347	0	0	2.74	0	2.74	NA	1.10300884955752	347	NA	74.5398230088496
G270	1	271	0	1	2.64	0	2.64	NA	1.00300884955752	271	NA	-1.46017699115044
G285	1	308	0	0	1.88	1	1.88	NA	0.243008849557522	308	NA	35.5398230088496
G302	1	349	0	0	1.89	1	1.89	NA	0.253008849557522	349	NA	76.5398230088496
G315	1	325	0	0	0.94	0	0.94	NA	-0.696991150442478	325	NA	52.5398230088496
